treated_channel_id,treated_name,group,control_channel_id,control_name,control_category_cc,control_creation_year,control_subs_2019,abs_log_sub_dist,match_rank,weak_match
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games,Gaming,2011,7470000,0.0077,1,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCh715KhLM7vbOwozSXLWI_w,aLexBY11,Gaming,2011,7589559,0.0236,2,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UC-kOXc3gBwksVfmndSEz7jg,I AM WILDCAT,Gaming,2011,7080000,0.0459,3,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCKYb5XBe-5OSEgLijLSoDtw,UnspeakableGaming,Gaming,2012,7860000,0.0586,4,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCvPW1W4WlpTgNezZzwIstLA,Daithi De Nogla,Gaming,2012,6811244,0.0846,5,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCd534c_ehOvrLVL2v7Nl61w,Muselk,Gaming,2012,8090000,0.0875,6,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCqg2eLFNUu3QN3dttNeOWkw,iHasCupquake,Gaming,2010,6620000,0.1131,7,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCLCmJiSbIoa_ZFiBOBDf6ZA,TobyGames,Gaming,2010,6450000,0.1391,8,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCgrA08uO7JR9h6Xr-ONjPkA,LispyJimmy,Gaming,2012,6250000,0.1706,9,False
UCGmnsW623G1r-Chmo5RB4Yw,KSI,Sidemen,UCrSgaO6xOY8YV1EoCbD51HA,MessYourself,Gaming,2011,6090000,0.1965,10,False
UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,Sidemen,UC2wKfjlioOCLP4xQMOWNcgg,Typical Gamer,Gaming,2008,8499078,0.0346,1,False
UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,Sidemen,UCH-_hzb2ILSCo9ftVSnrCIQ,YOGSCAST Lewis & Sim...,Gaming,2008,7230000,0.1271,2,False
UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,Sidemen,UC1ieoHqKW-yYgDhLHIcx28w,TheSyndicateProject,Gaming,2010,9900000,0.1872,3,False
UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,Sidemen,UCqg2eLFNUu3QN3dttNeOWkw,iHasCupquake,Gaming,2010,6620000,0.2153,4,False
UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,Sidemen,UCLCmJiSbIoa_ZFiBOBDf6ZA,TobyGames,Gaming,2010,6450000,0.2413,5,False
