group,channel_id,channel_name,role,join_date,leave_date,source_url,founder,is_primary,channel_created,date_basis,date_precision,notes,treatment_date,eligible_q4q5,censor_date
Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,group,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,,True,2015-06-14,formation,exact,primary group channel,2015-06-14,FALSE,
Sidemen,UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,group,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,,False,2018-02-01,formation,exact,secondary group channel,2015-06-14,FALSE,
Sidemen,UCjRkTl_HP4zOh3UFaThgRZw,SidemenReacts,group,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,,False,2020-08-06,formation,exact,secondary group channel,2015-06-14,FALSE,
Sidemen,UCbAZH3nTxzyNmehmTUhuUsA,SidemenShorts,group,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,,False,2021-03-03,formation,exact,secondary group channel,2015-06-14,FALSE,
Sidemen,UCGmnsW623G1r-Chmo5RB4Yw,KSI,member,2013-10-19,2026-05-31,https://en.wikipedia.org/wiki/Sidemen,True,True,2011-01-26,formation,exact,founding member; left 2026-05-31,2015-06-14,TRUE,2026-05-31
Sidemen,UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,member,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,True,True,2008-02-17,formation,exact,founding member,2015-06-14,TRUE,
Sidemen,UChntGq8THlUokhc1tT-M2wA,Zerkaa,member,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,True,True,2009-12-06,formation,exact,founding member,2015-06-14,TRUE,
Sidemen,UCfNWN9s_s8kRTCadk04WWJA,TBJZL,member,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,True,True,2011-11-16,formation,exact,founding member,2015-06-14,TRUE,
Sidemen,UCHhfSXoDG6gSgpOvLH4wrRw,Behzinga,member,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,True,True,2012-02-24,formation,exact,founding member,2015-06-14,TRUE,
Sidemen,UCvwgF_0NOZe2vN4Q3g1bY-A,Vikkstar123,member,2013-10-19,,https://en.wikipedia.org/wiki/Sidemen,True,True,2010-04-12,formation,exact,founding member,2015-06-14,TRUE,
Sidemen,UCjtLOfx1yt1NlnFIDyAX3Ug,W2S,member,2014-01-01,,https://en.wikipedia.org/wiki/Sidemen,False,True,2012-07-26,approximate,month,joined January 2014,2015-06-14,TRUE,
Beta Squad,UCxOzbkk0bdVl6-tH1Fcajfg,Beta Squad,group,2019-02-14,,https://youtube.fandom.com/wiki/Beta_Squad,,True,2019-02-14,channel_creation,approximate,formation ~ channel creation; source user-edited,2019-02-14,FALSE,
Beta Squad,UCdcUmdOxMrhRjKMw-BX19AA,Niko Omilana,member,2019-02-14,,https://youtube.fandom.com/wiki/Beta_Squad,True,True,2011-06-21,formation,approximate,founding member,2019-02-14,TRUE,
Beta Squad,UCv-GNHtqM97EaU_i7gN_Ikw,Chunkz,member,2019-02-14,,https://youtube.fandom.com/wiki/Beta_Squad,True,True,2015-07-23,formation,approximate,founding member,2019-02-14,TRUE,
Beta Squad,UCDMHyBFbyJIKFiEwHty-u5Q,Aj Shabeel,member,2019-02-14,,https://youtube.fandom.com/wiki/Beta_Squad,True,True,2015-10-01,formation,approximate,founding member,2019-02-14,TRUE,
Beta Squad,UCQNbfWASCZedLPFChbJ6AEg,Sharky,member,2019-02-14,,https://youtube.fandom.com/wiki/Beta_Squad,True,True,2015-08-17,formation,approximate,founding member,2019-02-14,TRUE,
Beta Squad,UC_8JxHQrJHC4rUsBtoPY4wQ,KingKennyTv,member,2019-02-14,,https://en.wikipedia.org/wiki/King_Kenny_(internet_personality),True,True,2013-07-04,formation,approximate,co-founder,2019-02-14,TRUE,
AMP,UCJbYdyufHR-cxOuY96KIoqA,AMP,group,2019-10-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),,True,2020-01-24,formation,month,operates a qualifying long-form group channel; co-founded October 2019; group channel created 2020-01,2020-01-24,FALSE,
AMP,UCoEmptob-eEGKk18c2VplJg,Kai Cenat,member,2020-07-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),False,True,2012-12-26,approximate,month,joined mid-2020,2020-07-01,TRUE,
AMP,UCJ-rK_vd0Pw3J8kOjfW_m8g,Fanum,member,2019-10-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),True,True,2017-05-23,formation,month,founder,2020-01-24,TRUE,
AMP,UCspFcBk0XKaSJjZccJkPqnQ,Duke Dennis Gaming,member,2019-10-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),True,True,2013-02-16,formation,month,founder; primary long-form channel (switched from vlog channel that postdated join),2020-01-24,TRUE,
AMP,UCh2aTKSbIyxpnOsbHsmV-ig,Agent 00,member,2019-10-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),True,True,2022-08-24,formation,month,"founder; channel recreated 2022, no pre-treatment period, exclude from Q4/Q5",2020-01-24,FALSE,
AMP,UCNLgp2Ewml3Gp5fT4uh3raw,ImDavisss Live,member,2019-10-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),True,True,2015-11-18,formation,month,"founder; Live channel, main gaming channel may differ",2020-01-24,TRUE,
AMP,UCecIOBvj1k5dwh_WVtsE7kg,Chrisnxtdoor,member,2019-10-01,,https://en.wikipedia.org/wiki/AMP_(streamer_collective),True,True,2013-05-02,formation,month,joined as editor then full member,2020-01-24,TRUE,
