date,channel_id,title,subscriber_count,view_count,video_count
2026-08-10,UCspFcBk0XKaSJjZccJkPqnQ,Duke Dennis Gaming,2000000,195761134,733
2026-08-10,UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV,3290000,1049005798,481
2026-08-10,UCtHaxi4GTYDpJgMSGy7AeSw,Michael Reeves,7810000,520464256,56
2026-08-10,UCWZmCMB7mmKWcXJSIPRhzZw,Miniminter,10600000,4517433550,2602
2026-08-10,UCi87kxosIT3wrnEA-mv4jWA,FaZe Adapt,5870000,1289711893,1501
2026-08-10,UCan_L4XHfSbCKaTCcntyLTQ,scarra,756000,251561115,2156
2026-08-10,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,23400000,7975395022,502
2026-08-10,UCvWU1K29wCZ8j1NsXsRrKnA,LilyPichu,3080000,643242165,904
2026-08-10,UCGmnsW623G1r-Chmo5RB4Yw,KSI,18900000,5317660320,1545
2026-08-10,UChXKjLEzAB1K7EZQey7Fm1Q,Pokimane,6580000,118760818,124
2026-08-10,UCgDvko7FcHndaS-QoLJw_PA,yvonnie,457000,140591084,987
2026-08-10,UCvwgF_0NOZe2vN4Q3g1bY-A,Vikkstar123,7570000,2222775066,5172
2026-08-10,UCJ-rK_vd0Pw3J8kOjfW_m8g,JustFanum,1830000,176311572,260
2026-08-10,UCUT8RoNBTJvwW1iErP6-b-A,Disguised Toast,3770000,1617602065,1530
2026-08-10,UCoEmptob-eEGKk18c2VplJg,Kai Cenat,8140000,439722056,288
2026-08-10,UChntGq8THlUokhc1tT-M2wA,Zerkaa,4690000,896299338,2031
2026-08-10,UC_wSuaxwUYsJOBZDWwHIQZg,QuarterJade,767000,650993937,1531
2026-08-10,UCY4AlDv6wL2qhrX29iwdqAg,2HYPE,2570000,710374070,200
2026-08-10,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,21000000,8009965624,1620
2026-08-10,UCaUwlJEE3Vxsw0eIG15xBiw,Jiedel,4020000,751264265,1457
2026-08-10,UCbAZH3nTxzyNmehmTUhuUsA,SidemenShorts,2080000,1938543123,1918
2026-08-10,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,62500000,21269137956,604
2026-08-10,UCJbYdyufHR-cxOuY96KIoqA,AMP,8120000,1347024292,299
2026-08-10,UCQIUhhcmXsu6cN6n3y9-Pww,Jesser,48900000,13843848695,1727
2026-08-10,UCjRkTl_HP4zOh3UFaThgRZw,SidemenReacts,5850000,3628494506,1693
2026-08-10,UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,9750000,6272879626,1502
2026-08-10,UCrCkLipGria4UloMpvNil5g,Erika Costell,3960000,163952105,784
2026-08-10,UCQNbfWASCZedLPFChbJ6AEg,Sharky,1500000,98173457,206
2026-08-10,UCDMHyBFbyJIKFiEwHty-u5Q,Aj Shabeel,2150000,272298390,176
2026-08-10,UCUJ0Qif41Vfwds2Q_k6HO2g,Kristopher London,3570000,548855072,1026
2026-08-10,UCh2aTKSbIyxpnOsbHsmV-ig,Agent 00,1350000,529730419,3096
2026-08-10,UCv-GNHtqM97EaU_i7gN_Ikw,Chunkz,4030000,363225985,288
2026-08-10,UCOmXyEquWIIo1uAj_2LN4UA,FEDMYSTER,320000,34292707,38
2026-08-10,UCHhfSXoDG6gSgpOvLH4wrRw,Behzinga,4910000,588044350,874
2026-08-10,UCOYSYNsxTfGTGbMu2c-kpfg,Mopi,957000,115010423,292
2026-08-10,UCTs5PJGf9AwnA7mNV3ejNTQ,ZackTTG,1230000,150514070,354
2026-08-10,UCNLgp2Ewml3Gp5fT4uh3raw,ImDavisss Live,1260000,151903111,483
2026-08-10,UCfNWN9s_s8kRTCadk04WWJA,TBJZL,5140000,629223558,1077
2026-08-10,UCjtLOfx1yt1NlnFIDyAX3Ug,W2S,16200000,4821394948,652
2026-08-10,UCxOzbkk0bdVl6-tH1Fcajfg,Beta Squad,12000000,2048796511,201
2026-08-10,UCdcUmdOxMrhRjKMw-BX19AA,Niko Omilana,8930000,791736840,154
2026-08-10,UCecIOBvj1k5dwh_WVtsE7kg,Chrisnxtdoor,436000,5872109,13
2026-08-10,UCvyTdLw8SkVmUcHYXSDEGwA,CashNasty,4480000,1034760081,2530
2026-08-10,UC_8JxHQrJHC4rUsBtoPY4wQ,KingKennyTv,2250000,318778572,123
