group,year,all_views,group_views,n_group_channels,n_member_channels,group_share,member_share
2HYPE,2012,57620,0,0,1,0.0,1.0
2HYPE,2013,6367597,0,0,3,0.0,1.0
2HYPE,2014,31983171,0,0,4,0.0,1.0
2HYPE,2015,182795387,0,0,4,0.0,1.0
2HYPE,2016,448273810,0,0,6,0.0,1.0
2HYPE,2017,639124002,0,0,6,0.0,1.0
2HYPE,2018,579076927,0,0,6,0.0,1.0
2HYPE,2019,727032196,149694126,1,6,0.20589751983968535,0.7941024801603147
2HYPE,2020,731513439,187554822,1,6,0.2563928589697448,0.7436071410302552
2HYPE,2021,455732309,143240620,1,6,0.3143086789574096,0.6856913210425903
2HYPE,2022,2534033443,228878673,1,5,0.09032188333277652,0.9096781166672234
2HYPE,2023,2652713282,898811,1,5,0.00033882704403030917,0.9996611729559697
2HYPE,2024,1559705076,0,0,5,0.0,1.0
2HYPE,2025,3395846538,0,0,5,0.0,1.0
2HYPE,2026,2995965591,0,0,6,0.0,1.0
AMP,2016,962887,0,0,3,0.0,1.0
AMP,2017,9829990,0,0,2,0.0,1.0
AMP,2018,64641054,0,0,4,0.0,1.0
AMP,2019,176583500,0,0,5,0.0,1.0
AMP,2020,302044120,109482152,1,4,0.36247072778639094,0.637529272213609
AMP,2021,336415291,196267364,1,4,0.5834079759472051,0.41659202405279494
AMP,2022,303476801,152395654,1,6,0.5021657454468818,0.49783425455311825
AMP,2023,484267787,282786107,1,6,0.5839457312488968,0.4160542687511032
AMP,2024,521931035,165188630,1,6,0.31649512851827255,0.6835048714817274
AMP,2025,455841914,319330963,1,4,0.7005300591994268,0.2994699408005732
AMP,2026,175921163,111142838,1,4,0.6317763940657896,0.36822360593421044
Beta Squad,2014,5928111,0,0,2,0.0,1.0
Beta Squad,2015,4634463,0,0,4,0.0,1.0
Beta Squad,2016,38887824,0,0,5,0.0,1.0
Beta Squad,2017,252263139,0,0,5,0.0,1.0
Beta Squad,2018,327099852,0,0,5,0.0,1.0
Beta Squad,2019,265137989,74575241,1,5,0.28126954300766005,0.71873045699234
Beta Squad,2020,334295424,127895170,1,5,0.3825812763742767,0.6174187236257234
Beta Squad,2021,262686554,0,0,5,0.0,1.0
Beta Squad,2022,762695088,603154319,1,5,0.7908197240153197,0.20918027598468025
Beta Squad,2023,789644194,641540326,1,5,0.8124422757422313,0.18755772425776873
Beta Squad,2024,349328092,278192609,1,4,0.7963648368708921,0.2036351631291079
Beta Squad,2025,391844747,249773915,1,4,0.637430811341207,0.36256918865879295
Beta Squad,2026,101889493,70558973,1,3,0.6925048984197026,0.30749510158029736
OfflineTV,2011,11102722,0,0,1,0.0,1.0
OfflineTV,2012,5579846,0,0,1,0.0,1.0
OfflineTV,2013,7640089,0,0,1,0.0,1.0
OfflineTV,2014,9690028,0,0,2,0.0,1.0
OfflineTV,2015,55769025,0,0,3,0.0,1.0
OfflineTV,2016,76496809,0,0,5,0.0,1.0
OfflineTV,2017,187637065,42557737,1,6,0.22680879707855162,0.7731912029214484
OfflineTV,2018,312138322,71648863,1,7,0.22954202656346695,0.7704579734365331
OfflineTV,2019,567648697,116963487,1,7,0.206049071579213,0.793950928420787
OfflineTV,2020,1062173053,210466565,1,7,0.19814715163932897,0.8018528483606711
OfflineTV,2021,545189961,102372598,1,7,0.18777418023660197,0.812225819763398
OfflineTV,2022,456904986,85256611,1,7,0.18659593047207412,0.8134040695279259
OfflineTV,2023,465876926,114481354,1,7,0.24573304152006875,0.7542669584799313
OfflineTV,2024,531838522,153845821,1,7,0.2892716767139331,0.7107283232860668
OfflineTV,2025,484180030,95366158,1,7,0.19696425315186997,0.8030357468481301
OfflineTV,2026,213816986,54070783,1,7,0.252883477648497,0.747116522351503
Sidemen,2009,5287083,0,0,1,0.0,1.0
Sidemen,2010,43019171,0,0,2,0.0,1.0
Sidemen,2011,35518177,0,0,3,0.0,1.0
Sidemen,2012,165158960,0,0,7,0.0,1.0
Sidemen,2013,468821268,0,0,7,0.0,1.0
Sidemen,2014,1869534697,0,0,7,0.0,1.0
Sidemen,2015,2702984514,0,0,7,0.0,1.0
Sidemen,2016,3148423687,47241998,1,7,0.0150049684212022,0.9849950315787978
Sidemen,2017,2090638496,57882116,1,7,0.027686334156165848,0.9723136658438342
Sidemen,2018,2426343035,1141309823,2,7,0.47038271445405905,0.5296172855459409
Sidemen,2019,3349708560,2069801945,2,7,0.6179050827633793,0.3820949172366207
Sidemen,2020,4385142235,2437393085,3,7,0.5558298806241572,0.44417011937584283
Sidemen,2021,4462745789,3648648485,4,6,0.8175792791051133,0.1824207208948867
Sidemen,2022,4522998933,3848863895,4,5,0.8509539692610845,0.14904603073891554
Sidemen,2023,3650811605,2876678471,4,6,0.7879558800186295,0.21204411998137052
Sidemen,2024,2347861102,1795354334,4,6,0.7646765528295719,0.23532344717042808
Sidemen,2025,1708610238,1263205373,3,5,0.739317455149183,0.260682544850817
Sidemen,2026,1323566541,602986003,3,6,0.45557664410617643,0.5444233558938236
