rel_period,att,ci_low,ci_high,se,n_videos,n_channels,n_cohorts
-24,-0.7837745827873575,-1.1498851239944878,-0.41553663324676116,0.19264784463303136,271,25,9
-23,-1.0299377877839206,-1.264473846247238,-0.799009319791721,0.13424131153321553,257,26,9
-22,-0.9838146758675175,-1.4204234970055982,-0.5281797111995012,0.2521397420424318,299,25,8
-21,-0.8286830767880868,-1.1316645419854212,-0.5161321936672778,0.17303488371953518,264,25,9
-20,-0.6667470857157086,-1.111519377050853,-0.21020462663438555,0.2571871885358729,322,24,8
-19,-0.6138758617054683,-1.0072030459144563,-0.21018307701471103,0.2200200126260438,245,23,8
-18,-0.6272425578971277,-0.8608951241178813,-0.3901595542128516,0.13559448990294512,228,26,9
-17,-0.3875065947702605,-0.6798310813576601,-0.091168016802642,0.17078567811801862,246,25,8
-16,-0.2560807994792525,-0.5284239481829096,0.01632516093509968,0.14227976333802728,240,23,7
-15,-0.24401742884840022,-0.4551677378245928,-0.024750656607061446,0.1113121916400708,244,24,7
-14,-0.11922909828614484,-0.38537547200099065,0.15243197018857288,0.1527419614843107,265,25,8
-13,-0.05094244233083002,-0.2566404804312553,0.16015572616541995,0.12438236394266314,256,24,7
-12,-0.0828854837292412,-0.34769574753651067,0.19679826947057477,0.1658438776979553,225,24,8
-11,0.17638463416241984,-0.11550486214061864,0.4752120315480218,0.169938615252155,256,24,9
-10,0.22628459518157365,-0.014196570040593774,0.46202687146225946,0.13157812239254185,243,25,8
-9,0.27760274850980493,0.11840699860030929,0.434307861210239,0.08407632940584979,290,27,9
-8,0.30774768581752715,0.059336679700362154,0.5555086638507777,0.14510045408219693,342,27,9
-7,0.2785520735873211,0.178230275717594,0.3772340821037914,0.05596579156402114,285,26,9
-6,0.21927764742788763,0.05650979948280064,0.38528909535794786,0.0946187546974372,294,26,9
-5,0.22627666549992287,0.0758580320728107,0.38055211387876553,0.08833930718005438,303,26,9
-4,0.06368642409311104,-0.059283708668564486,0.18354869145489744,0.06556069329379455,243,23,8
-3,0.11464343537780214,0.05199718315809236,0.1891149548845781,0.03594528165587911,260,26,9
-2,0.10626790587350077,-0.018242504968575587,0.2422675719858462,0.06699782410910422,284,26,9
0,0.0008801427985921199,-0.08525088870476234,0.08879056413411196,0.05086320755301229,236,24,9
1,0.12020729687848097,-0.02988626853248616,0.2643334619421603,0.08072699448058623,255,26,8
2,0.2784845809062192,0.17637724033861107,0.38125023353806553,0.060739251398339654,255,27,9
3,0.21874395634607052,0.05185436370947632,0.3925478147693851,0.09078371847231305,284,26,7
4,0.19456068914554236,0.08509852618034633,0.301364568848026,0.06416508558257432,271,23,8
5,0.12929386181953095,0.032465497651585615,0.22551872539156864,0.05201629341610114,282,22,7
6,0.21738109219323307,0.115375412529071,0.32596405721490707,0.05747029328419203,265,23,8
7,0.38938065820785106,0.27044374925705356,0.5071109779519657,0.06394705718628105,252,22,8
8,0.19011910315399938,0.030599483167246495,0.3496026414696093,0.08651005436586393,214,23,7
9,0.3528330046454107,0.21821456912385603,0.4869479596351516,0.07701740842500111,226,23,9
10,0.4199301886463611,0.24004033632504776,0.6039336362509402,0.10050950531731832,240,25,8
11,0.34835686769435725,0.16065426473542962,0.542528351367865,0.10743097689594726,259,27,8
12,0.3461975797197262,0.12786472360869242,0.5684079172301647,0.11587880652733014,252,23,8
13,0.5725708896742326,0.3691985025703958,0.7821805409531505,0.1129660479223278,228,24,8
14,0.5405535506477828,0.29452008086073067,0.7724871943182186,0.12885035682310797,249,25,8
15,0.6098101031358376,0.29370186503968937,0.9084186142585571,0.16486578011706735,280,22,8
16,0.6275909765733609,0.3863271995262038,0.8717676161368391,0.13437631405187114,242,26,9
17,0.27776956521254736,0.048448506906398486,0.5127221328562556,0.13302180783898304,229,21,8
18,0.3841252266584959,0.16984186029538223,0.5921722371840059,0.12133492217520028,272,25,8
19,0.08635579322351317,-0.15497648514459003,0.3232155828964858,0.13188652452461508,258,21,7
20,0.18909330735971566,-0.007691939346770926,0.39845022910570904,0.1171966810228434,195,22,8
21,0.5499819859807582,0.38233762860586396,0.7176360795166139,0.09741310565959697,233,24,8
22,0.4382798758656039,0.18014761753587236,0.7063903959003406,0.14498434196672874,237,24,8
23,0.4204529214704902,0.20753753067282835,0.6572549142823089,0.12347305232974293,220,23,8
24,0.5622629796340137,0.35076073132343766,0.7827473426676008,0.11874753892734054,246,21,8
