case,month,rel_month,treated,synthetic,gap
KSI,2024-06,-24,14.716364897725796,14.422019263687185,0.2943456340386117
KSI,2024-07,-23,14.74890639898778,14.2900822981708,0.45882410081697955
KSI,2024-08,-22,12.175855507299083,14.441238007734736,-2.2653825004356527
KSI,2024-09,-21,13.046898380219469,14.588447898147033,-1.5415495179275638
KSI,2024-10,-20,14.698242230449287,14.297329270765339,0.40091295968394824
KSI,2024-11,-19,14.343052107663382,14.296307144514675,0.0467449631487078
KSI,2024-12,-18,14.323066592899025,14.376914747409707,-0.05384815451068192
KSI,2025-01,-17,14.674992756625064,14.701094804649523,-0.026102048024458924
KSI,2025-02,-16,14.448734208999479,14.389621061514669,0.059113147484810113
KSI,2025-03,-15,13.271558052565297,14.178653988689566,-0.9070959361242696
KSI,2025-04,-14,14.199448827122358,14.42988935181719,-0.23044052469483134
KSI,2025-05,-13,13.850155349056497,14.474126447223936,-0.6239710981674396
KSI,2025-06,-12,14.509384639690873,14.72258169223926,-0.21319705254838617
KSI,2025-07,-11,15.117628423246444,14.442636329876894,0.6749920933695499
KSI,2025-08,-10,15.324606003293564,14.676358492217222,0.6482475110763417
KSI,2025-09,-9,15.3953015840635,14.374551518254775,1.0207500658087252
KSI,2025-10,-8,15.335598283517914,14.354424271708156,0.9811740118097578
KSI,2025-11,-7,15.580830436232715,14.248816589143992,1.3320138470887226
KSI,2025-12,-6,15.142090507167328,14.26013837392628,0.8819521332410485
KSI,2026-01,-5,15.398437103657896,14.498548937767685,0.8998881658902107
KSI,2026-02,-4,15.898684376027486,14.257258694008106,1.6414256820193796
KSI,2026-06,0,14.678466607232057,14.36789580837581,0.31057079885624717
KSI,2026-07,1,14.490153929940309,14.100055907871832,0.3900980220684769
KSI,2026-08,2,13.871665716640566,13.619093114548633,0.25257260209193255
Team 10,2017-09,-24,15.550413748044848,15.547166768379533,0.003246979665314953
Team 10,2017-10,-23,15.88066229449072,15.755249654670695,0.12541263982002526
Team 10,2017-11,-22,15.579342455913325,15.656729656063193,-0.07738720014986811
Team 10,2017-12,-21,15.736765314546835,15.635360223890986,0.1014050906558488
Team 10,2018-01,-20,15.511554028085035,15.623101576915941,-0.1115475488309059
Team 10,2018-02,-19,15.555417367925015,15.538050373325174,0.01736699459984159
Team 10,2018-03,-18,15.854545020604773,15.573519008493964,0.281026012110809
Team 10,2018-04,-17,15.760488228073,15.673846345736393,0.08664188233660575
Team 10,2018-05,-16,15.663661877844687,15.694481565964763,-0.03081968812007574
Team 10,2018-06,-15,15.606812398044324,15.808443123254218,-0.20163072520989367
Team 10,2018-07,-14,15.884341092852265,15.641191682459286,0.243149410392979
Team 10,2018-08,-13,15.88806101118669,15.576423176607353,0.31163783457933647
Team 10,2018-09,-12,15.801797321753117,15.628586543878315,0.173210777874802
Team 10,2018-10,-11,15.582243692644614,15.49463388281124,0.08760980983337419
Team 10,2018-11,-10,15.467297388515476,15.306819201991392,0.16047818652408452
Team 10,2018-12,-9,15.037038159600735,15.588731134122725,-0.5516929745219894
Team 10,2019-01,-8,15.587377118321019,15.68292400192153,-0.09554688360051067
Team 10,2019-02,-7,15.498122800464879,15.662817801073158,-0.16469500060827968
Team 10,2019-03,-6,15.588543962850643,15.637391686847739,-0.04884772399709547
Team 10,2019-04,-5,15.701737661292256,15.573406763017408,0.12833089827484834
Team 10,2019-05,-4,15.742370806849465,15.599321301633294,0.14304950521617066
Team 10,2019-06,-3,14.991574139916612,15.368092649940593,-0.3765185100239812
Team 10,2019-07,-2,15.382874086917244,15.634058093703835,-0.25118400678659114
Team 10,2019-08,-1,15.873930345513308,15.492257229456646,0.3816731160566622
Team 10,2019-09,0,14.595211689865138,15.59182207730433,-0.9966103874391923
Team 10,2019-10,1,14.887664725067944,15.224621945171839,-0.3369572201038942
Team 10,2019-11,2,15.076695330310871,15.551491550666965,-0.4747962203560938
Team 10,2019-12,3,15.09233633094285,15.555762713210537,-0.46342638226768784
Team 10,2020-01,4,14.25398020400083,15.272295063933772,-1.018314859932941
Team 10,2020-02,5,15.445773815534972,15.375652390133716,0.07012142540125588
Team 10,2020-03,6,15.510071342460474,15.326954238694329,0.1831171037661452
Team 10,2020-04,7,15.405184745038412,15.313626866903011,0.09155787813540073
Team 10,2020-05,8,15.16575398090159,15.223336290076508,-0.05758230917491858
Team 10,2020-06,9,14.804073305169652,15.194802049350344,-0.3907287441806915
Team 10,2020-07,10,15.483032742961516,15.224391008050912,0.25864173491060427
Team 10,2020-08,11,15.144593092053052,15.220955732587644,-0.07636264053459207
Team 10,2020-09,12,16.16178575700097,15.238592974054658,0.9231927829463125
Team 10,2020-10,13,14.801220043542019,15.049090439687774,-0.24787039614575512
Team 10,2020-11,14,15.003752829380865,15.393929684876401,-0.39017685549553605
Team 10,2020-12,15,15.691579618755618,14.976133903293892,0.7154457154617262
Team 10,2021-01,16,14.76913961640932,14.966845703445937,-0.19770608703661807
Team 10,2021-03,18,14.64067948427848,14.970581836741204,-0.3299023524627227
Team 10,2021-04,19,14.406849563107187,14.869184416887457,-0.46233485378026984
Team 10,2021-06,21,14.734716634838177,14.836821107051746,-0.10210447221356844
Team 10,2021-07,22,14.58749991637967,14.706505785492867,-0.119005869113197
Team 10,2021-08,23,14.000350280576237,14.989629208959322,-0.9892789283830847
Team 10,2021-09,24,14.740199525726021,14.825521031308092,-0.08532150558207086
