case,unit,is_treated,post_pre_rmspe_ratio,treated_rank,n_units,p
KSI,UCGmnsW623G1r-Chmo5RB4Yw,True,0.3464278267929974,41.0,41.0,1.0
KSI,UCYd0us2OtW4d4-1cfpT2ktw,False,0.9286380452893664,,,
KSI,UCUgvCC6iygghq-f2r96P-Jw,False,3.386244519450139,,,
KSI,UCzXwjTI6c6mVn6oui_p6oiw,False,2.205293469769747,,,
KSI,UCpB959t8iPrxQWj7G6n0ctQ,False,4.006365190512611,,,
KSI,UCwD4x63A9KC7Si2RuSfg-SA,False,7.445019160520867,,,
KSI,UCAbdeLiTPdjk1X2TY_ZdLDw,False,1.6382152707290307,,,
KSI,UCJ2ZDzMRgSrxmwphstrm8Ww,False,1.2808294673221687,,,
KSI,UCm3hAp1m1xlAz0ve_EKAo4g,False,3.5822005945567033,,,
KSI,UCuhwvTYFvVZjyBVXc9T7CrA,False,3.670267132711326,,,
KSI,UCHEf6T_gVq4tlW5i91ESiWg,False,0.6680030464911366,,,
KSI,UCNvzD7Z-g64bPXxGzaQaa4g,False,0.8889188377638177,,,
KSI,UCKQ5Jj35sjTmJigRtlCPhVQ,False,7.369356605403452,,,
KSI,UC2t5bjwHdUX4vM2g8TRDq5g,False,0.7991701191300064,,,
KSI,UCO7dBj4bwaDOMoX-kKYF2Ww,False,1.3089200417153857,,,
KSI,UCESiRVMacmdsijiOtKvOeKQ,False,1.999168344708589,,,
KSI,UCSh__r5HS4Y1xBkccWnV0TA,False,4.231541363713887,,,
KSI,UCj0lRqUVkLgTpHZxzyionQw,False,0.6001574547743891,,,
KSI,UC4eYXhJI4-7wSWc8UNRwD4A,False,1.3352234101866665,,,
KSI,UCpqXJOEqGS-TCnazcHCo0rA,False,2.775621205481359,,,
KSI,UC-kOXc3gBwksVfmndSEz7jg,False,1.0361719295150522,,,
KSI,UCGaVdbSav8xWuFWTadK6loA,False,1.2272120206733728,,,
KSI,UCjB_adDAIxOL8GA4Y4OCt8g,False,2.2865647599498957,,,
KSI,UCOrd4AWNd6lOgv0UWv84H2g,False,1.8885403470729443,,,
KSI,UC2wKfjlioOCLP4xQMOWNcgg,False,7.181478724284315,,,
KSI,UC18NaGQLruOEw65eQE3bNbg,False,5.811369645948427,,,
KSI,UCkWAs7_9dVYbiicWpP_hMkg,False,1.0927195087805655,,,
KSI,UCelMeixAOTs2OQAAi9wU8-g,False,5.196037074578518,,,
KSI,UCt8CdzMEoTie3iix3KmvV7A,False,1.1134329507329837,,,
KSI,UCDlMf3zbdoWYzTwQsaD0fRA,False,3.0369857618776854,,,
