case,donor_channel_id,donor_name,weight
KSI,UCzXwjTI6c6mVn6oui_p6oiw,SMii7Y,0.7079204324414956
KSI,UCESiRVMacmdsijiOtKvOeKQ,Jayingee,0.2920795675585043
Team 10,UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey,0.4495155499081677
Team 10,UCwD4x63A9KC7Si2RuSfg-SA,Lucas and Marcus,0.19633337511726906
Team 10,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,0.13785669658887081
Team 10,UCDF1VXLA5-MHigyce2SQovQ,Tukomi,0.07252992650309867
Team 10,UClx1ElJ0XUjO74hZUm4yq-w,Whealth by Slaiman,0.07046725512007455
Team 10,UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,0.0672314498432251
Team 10,UCHZZo1h1cI1vg4I9g2RqOUQ,Red Arcade,0.004111978186427307
Team 10,UCZIIRX8rkNjVpP-oLMHpeDw,Calisthenicmovement,0.0019537687328668447
